2025-12-04 17:14:36,017 | INFO | ---- CLEANING STARTED ----
2025-12-04 17:14:36,017 | INFO | ---- CLEANING FINISHED. Final rows = 589081 ----
2025-12-04 17:15:50,562 | INFO | ---- CLEANING STARTED ----
2025-12-04 17:15:50,563 | INFO | ---- CLEANING FINISHED. Final rows = 589081 ----
2025-12-04 20:40:29,955 | INFO | ---- CLEANING STARTED ----
2025-12-04 20:40:29,956 | INFO | Column names cleaned. BEFORE=['raceId', 'driverId', 'lap', 'position', 'time', 'milliseconds'], AFTER=['raceid', 'driverid', 'lap', 'position', 'time', 'milliseconds']
2025-12-04 20:40:29,956 | INFO | ---- CLEANING FINISHED. Final rows = 589081 ----
2025-12-04 20:40:50,518 | INFO | ---- CLEANING STARTED ----
2025-12-04 20:40:50,519 | INFO | Column names cleaned. BEFORE=['raceId', 'driverId', 'lap', 'position', 'time', 'milliseconds'], AFTER=['raceid', 'driverid', 'lap', 'position', 'time', 'milliseconds']
2025-12-04 20:40:50,520 | INFO | ---- CLEANING FINISHED. Final rows = 589081 ----
2025-12-04 20:41:38,686 | INFO | ---- CLEANING STARTED ----
2025-12-04 20:41:38,694 | INFO | Column names cleaned. BEFORE=['raceId', 'driverId', 'lap', 'position', 'time', 'milliseconds'], AFTER=['raceid', 'driverid', 'lap', 'position', 'time', 'milliseconds']
2025-12-04 20:41:38,694 | INFO | ---- CLEANING FINISHED. Final rows = 589081 ----
