2025-12-04 17:14:34,782 | INFO | ---- CLEANING STARTED ----
2025-12-04 17:14:34,783 | INFO | ---- CLEANING FINISHED. Final rows = 360 ----
2025-12-04 17:15:49,160 | INFO | ---- CLEANING STARTED ----
2025-12-04 17:15:49,160 | INFO | ---- CLEANING FINISHED. Final rows = 360 ----
2025-12-04 20:40:28,712 | INFO | ---- CLEANING STARTED ----
2025-12-04 20:40:28,713 | INFO | Column names cleaned. BEFORE=['resultId', 'raceId', 'driverId', 'constructorId', 'number', 'grid', 'position', 'positionText', 'positionOrder', 'points', 'laps', 'time', 'milliseconds', 'fastestLap', 'fastestLapTime', 'statusId'], AFTER=['resultid', 'raceid', 'driverid', 'constructorid', 'number', 'grid', 'position', 'positiontext', 'positionorder', 'points', 'laps', 'time', 'milliseconds', 'fastestlap', 'fastestlaptime', 'statusid']
2025-12-04 20:40:28,713 | INFO | ---- CLEANING FINISHED. Final rows = 360 ----
2025-12-04 20:40:49,508 | INFO | ---- CLEANING STARTED ----
2025-12-04 20:40:49,508 | INFO | Column names cleaned. BEFORE=['resultId', 'raceId', 'driverId', 'constructorId', 'number', 'grid', 'position', 'positionText', 'positionOrder', 'points', 'laps', 'time', 'milliseconds', 'fastestLap', 'fastestLapTime', 'statusId'], AFTER=['resultid', 'raceid', 'driverid', 'constructorid', 'number', 'grid', 'position', 'positiontext', 'positionorder', 'points', 'laps', 'time', 'milliseconds', 'fastestlap', 'fastestlaptime', 'statusid']
2025-12-04 20:40:49,509 | INFO | ---- CLEANING FINISHED. Final rows = 360 ----
2025-12-04 20:41:37,665 | INFO | ---- CLEANING STARTED ----
2025-12-04 20:41:37,665 | INFO | Column names cleaned. BEFORE=['resultId', 'raceId', 'driverId', 'constructorId', 'number', 'grid', 'position', 'positionText', 'positionOrder', 'points', 'laps', 'time', 'milliseconds', 'fastestLap', 'fastestLapTime', 'statusId'], AFTER=['resultid', 'raceid', 'driverid', 'constructorid', 'number', 'grid', 'position', 'positiontext', 'positionorder', 'points', 'laps', 'time', 'milliseconds', 'fastestlap', 'fastestlaptime', 'statusid']
2025-12-04 20:41:37,665 | INFO | ---- CLEANING FINISHED. Final rows = 360 ----
